ID,Word,Spell Check,"In W2V,S2V",Replacements
CDG-753,sloth,sloth,Yes,sloth
CDG-753,fish,fish,Yes,fish
CDG-753,eel,eel,Yes,eel
CDG-753,barracuda,barracuda,No,fish
CDG-753,shark,shark,Yes,shark
CDG-753,dolphin,dolphin,Yes,dolphin
CDG-753,whale,whale,Yes,whale
CDG-753,monkey,monkey,Yes,monkey
CDG-753,ape,ape,Yes,ape
CDG-753,gorilla,gorilla,Yes,gorilla
CDG-753,chimp,chimpanzee,No,primate
CDG-753,eagle,eagle,Yes,eagle
CDG-753,eagle,eagle,Yes,eagle
CDG-753,hawk,hawk,Yes,hawk
CDH-754,wolf,wolf,Yes,wolf
CDH-754,bear,bear,Yes,bear
CDH-754,t_rex,tyrannosaurusrex,No,reptile
CDH-754,dragon,dragon,Yes,dragon
CDH-754,pegasus,pegasus,Yes,pegasus
CDH-754,stegosaurus,stegosaurus,No,reptile
CDH-754,triceratops,triceratops,No,reptile
CDH-754,monster,monster,Yes,monster
CDH-754,turtle,turtle,Yes,turtle
CDH-754,piranha,piranha,No,fish
CDH-754,frog,frog,Yes,frog
CDH-754,turtle,turtle,Yes,turtle
CDH-754,tortoise,tortoise,Yes,tortoise
CDH-754,meerkat,meerkat,No,african
CDM-759,dog,dog,Yes,dog
CDM-759,cat,cat,Yes,cat
CDM-759,elephant,elephant,Yes,elephant
CDM-759,squirrel,squirrel,Yes,squirrel
CDM-759,lion,lion,Yes,lion
CDM-759,lioness,lioness,Yes,lioness
CDM-759,fish,fish,Yes,fish
CDM-759,deer,deer,Yes,deer
CDM-759,rabbit,rabbit,Yes,rabbit
CDM-759,squirrel,squirrel,Yes,squirrel
CDM-759,hamster,hamster,No,pets
CDM-759,bird,bird,Yes,bird
CDM-759,cow,cow,Yes,cow
CDM-759,lizard,lizard,Yes,lizard
CDM-759,porcupine,porcupine,Yes,porcupine
CDM-759,koala,koala,No,australian
CDM-759,bluejay,bluejay,No,bird
CDM-759,hippo,hippopotamus,Yes,hippopotamus
CDM-759,giraffe,giraffe,No,african
CDR-764,giraffe,giraffe,No,african
CDR-764,orangutan,orangutan,No,primate
CDR-764,monkey,monkey,Yes,monkey
CDR-764,elephant,elephant,Yes,elephant
CDR-764,bird,bird,Yes,bird
CDR-764,eagle,eagle,Yes,eagle
CDR-764,jaguar,jaguar,Yes,jaguar
CDR-764,cheetah,cheetah,No,feline
CDR-764,frog,frog,Yes,frog
CDR-764,toad,toad,Yes,toad
CDR-764,flamingo,flamingo,No,bird
CDR-764,lion,lion,Yes,lion
CDR-764,mouse,mouse,Yes,mouse
CDR-764,bat,bat,Yes,bat
CDR-764,fish,fish,Yes,fish
